feature_family,feature_name,source_columns_or_prefix,calculation_method,fit_data,transform_data,selection_rule,priority,expected_signal,risk_or_limitation,use_in_day13_first_round
sample_missing_summary,sample_missing_count,all numeric features,count missing values per row,train_inner only for numeric feature list,train_inner/valid/official_test with same feature list,no supervised selection,high,sample-level data completeness,may reflect general data quality rather than APS-specific signal,True
sample_missing_summary,sample_missing_rate,all numeric features,missing count / numeric feature count,train_inner only for numeric feature list,train_inner/valid/official_test with same feature list,no supervised selection,high,sample-level data completeness,may reflect general data quality rather than APS-specific signal,True
sample_missing_summary,sample_non_missing_count,all numeric features,numeric feature count - missing count,train_inner only for numeric feature list,train_inner/valid/official_test with same feature list,no supervised selection,high,sample-level data completeness,may reflect general data quality rather than APS-specific signal,True
sample_zero_summary,sample_zero_count,all numeric features,count zero values per row,train_inner only for numeric feature list,train_inner/valid/official_test with same feature list,no supervised selection,high,sample-level zero pattern,zero may represent normal inactive state or anonymized encoding,True
sample_zero_summary,sample_zero_rate,all numeric features,zero count / numeric feature count,train_inner only for numeric feature list,train_inner/valid/official_test with same feature list,no supervised selection,high,sample-level zero pattern,zero may represent normal inactive state or anonymized encoding,True
sample_zero_summary,sample_non_zero_count,all numeric features,numeric feature count - zero count,train_inner only for numeric feature list,train_inner/valid/official_test with same feature list,no supervised selection,high,sample-level zero pattern,zero may represent normal inactive state or anonymized encoding,True
prefix_missing_summary,prefix_ag_missing_count,"ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009",count missing values within ag group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,high,ag group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ag_missing_rate,"ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009",missing count / ag group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,high,ag group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ay_missing_count,"ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009",count missing values within ay group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,high,ay group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ay_missing_rate,"ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009",missing count / ay group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,high,ay group missing structure,"anonymous prefix, no physical meaning",True
